,qus,ans
11375,What sport does Armand Raymond play?,ice hockey
11376,What sport does 2014–15 Premier League of Bosnia and Herzegovina play?,association football
11377,What sport does 2008–09 Maltese Premier League play?,association football
11378,What sport does Roy Emerson play?,tennis
11379,What sport does Shaun Carey play?,association football
11380,What sport does Jonas Villanueva play?,basketball
11381,What sport does Mustafa Keçeli play?,association football
11382,What sport does Wembley Lions play?,motorcycle speedway
11383,What sport does Exeter City F.C. play?,association football
11384,What sport does Inter Moengotapoe play?,association football
11385,What sport does Luan Viana Patrocínio play?,association football
11386,What sport does Alain Rakotondramanana play?,association football
11387,What sport does Radik Zhaparov play?,ski jumping
11388,What sport does Gianluca Comotto play?,association football
11389,What sport does Tim Hoogland play?,association football
11390,What sport does 2006 Korea Open Badminton Championships play?,badminton
11391,What sport does Fly play?,American football
11392,What sport does Indrek Pertelson play?,judo
11393,What sport does Sol Ky-Ong play?,judo
11394,What sport does Saidi Tama Nduwimana play?,association football
11395,What sport does Luis Rivera play?,artistic gymnastics
11396,What sport does 2006–07 Primera B Nacional play?,association football
11397,What sport does Grantham Town F.C. play?,association football
11398,What sport does Willie McCarter play?,basketball
11399,What sport does Günter Kutowski play?,association football
11400,What sport does Birmingham City F.C. play?,association football
11401,What sport does 1994 Swedish Open play?,tennis
11402,What sport does Josip Duvančić play?,association football
11403,What sport does Najeh Humoud play?,association football
11404,What sport does 2004 Legg Mason Tennis Classic play?,tennis
11405,What sport does Dorus de Vries play?,association football
11406,What sport does Luciano Vella play?,association football
11407,What sport does 1988–89 FA Cup Qualifying Rounds play?,association football
11408,What sport does Francisco Javier Lloret Martínez play?,association football
11409,What sport does Brice Dulin play?,rugby union
11410,What sport does Kasperi Kapanen play?,ice hockey
11411,What sport does Valeri Zelepukin play?,ice hockey
11412,What sport does Eisstadion am Pulverturm play?,ice hockey
11413,What sport does James Thomas play?,association football
11414,What sport does Wong Pei Tty play?,badminton
11415,What sport does Alain Laurier play?,association football
11416,What sport does Francisco David González Borges play?,association football
11417,What sport does 1989–90 1. Slovenská národná hokejová liga season play?,ice hockey
11418,What sport does Simon Tahamata play?,association football
11419,What sport does 1923 in Brazilian football play?,association football
11420,What sport does Ye Zhibin play?,association football
11421,What sport does Dipu Ghosh play?,badminton
11422,What sport does Matteo Pivotto play?,association football
11423,What sport does earned run average play?,baseball
11424,What sport does Imbi Hoop play?,association football
11425,What sport does Gerd Schwidrowski play?,association football
11426,What sport does 2014 Powiat Poznański Open play?,tennis
11427,What sport does 1997 Conference USA Baseball Tournament play?,baseball
11428,What sport does Vasili Penyasov play?,association football
11429,What sport does Andrei Bogomolov play?,association football
11430,What sport does Roberto Nani play?,alpine skiing
11431,What sport does Márcio Bittencourt play?,association football
11432,What sport does Dumitru Hubert play?,bobsleigh
11433,What sport does James MacKenzie play?,rugby union
11434,What sport does Friedhelm Konietzka play?,association football
11435,What sport does Stadio Brianteo play?,association football
11436,What sport does Warrenpoint Town F.C. play?,association football
11437,What sport does 1991 CONCACAF Gold Cup play?,association football
11438,What sport does Christophe Ott play?,association football
11439,What sport does Stephen Connor play?,association football
11440,What sport does FC Enerhetyk Burshtyn play?,association football
11441,What sport does Ladislav Žák play?,association football
11442,What sport does 2002 Euro Beach Soccer Cup play?,association football
11443,What sport does Sebastián Morquio play?,association football
11444,What sport does Paul Hoffman play?,basketball
11445,What sport does Cho Keung-yeon play?,association football
11446,What sport does Frank Allcock play?,association football
11447,What sport does Radek Opršal play?,association football
11448,What sport does David Homoláč play?,association football
11449,What sport does Gord Gallant play?,ice hockey
11450,What sport does Giorgio Cagnotto play?,diving
11451,What sport does 2008–09 FA Cup play?,association football
11452,What sport does 1952 NFL season play?,American football
11453,What sport does Willy Roy play?,association football
11454,What sport does Vítor Valente play?,association football
11455,What sport does 2010–11 Cruz Azul season play?,association football
11456,What sport does Alex Crombie play?,association football
11457,What sport does Club Libertad play?,association football
11458,What sport does 2013 Torneo di Viareggio play?,association football
11459,What sport does Julián Lalinde play?,association football
11460,What sport does Barry Silkman play?,association football
11461,What sport does World Triathlon play?,triathlon
11462,What sport does Diego Díaz Garrido play?,association football
11463,What sport does Ligue Magnus play?,ice hockey
11464,What sport does Kaunas Sports Hall play?,basketball
11465,What sport does Josh Vanlandingham play?,basketball
11466,What sport does Sporting News play?,baseball
11467,What sport does FC Zalău play?,association football
11468,What sport does Adílson Batista play?,association football
11469,What sport does Vladislav Matviyenko play?,association football
11470,What sport does Vyacheslav Chadov play?,association football
11471,What sport does Ito play?,association football
11472,What sport does Koumiba Djossouvi play?,rugby union
11473,What sport does 2010–11 South West Peninsula League play?,association football
11474,What sport does Angela Maxwell play?,figure skating
11475,What sport does Li Shuai play?,association football
11476,What sport does Robert Braet play?,association football
11477,What sport does Housain Al-Mogahwi play?,association football
11478,What sport does Walter Pfeiffer play?,association football
11479,What sport does HK Vojvodina play?,ice hockey
11480,What sport does Jonathan Rossini play?,association football
11481,What sport does Persatuan Bulutangkis Seluruh Indonesia play?,badminton
11482,What sport does USR Sainte-Rose play?,association football
11483,What sport does Joey Harrington play?,American football
11484,What sport does Łukasz Szukała play?,association football
11485,What sport does David Vázquez González play?,association football
11486,What sport does Carl Hagelin play?,ice hockey
11487,What sport does Miran Tepeš play?,ski jumping
11488,What sport does Archie Needham play?,association football
11489,What sport does Jim Thomas play?,basketball
11490,What sport does Rotherham County F.C. play?,association football
11491,What sport does 1990–91 British Basketball League season play?,basketball
11492,What sport does Moneygall GAA play?,Gaelic football
11493,What sport does Bryce Harper play?,baseball
11494,What sport does FC Dynamo Brest play?,association football
11495,What sport does Bernhard Winkler play?,association football
11496,What sport does linebacker play?,American football
11497,What sport does Ozren Perić play?,association football
11498,What sport does Logi Geirsson play?,handball
11499,What sport does Siavash Yazdani play?,association football
11500,What sport does Matty Blair play?,association football
11501,What sport does Carlaw Park play?,rugby league
11502,What sport does Zanzibar national under-20 football team play?,association football
11503,What sport does Mo Hamdaoui play?,association football
11504,What sport does Toni Kukoč play?,basketball
11505,What sport does Giovanni Fanello play?,association football
11506,What sport does 2001–02 Division 1 season play?,ice hockey
11507,What sport does Bob Priddy play?,basketball
11508,What sport does Jin Zhiyang play?,association football
11509,What sport does Israel Andrade play?,basketball
11510,What sport does Patrick Edema play?,association football
11511,What sport does Gus Bodnar play?,ice hockey
11512,What sport does Rugby Africa play?,rugby union
11513,What sport does Agustín Elduayen play?,association football
11514,What sport does Yoo Yong-sung play?,badminton
11515,What sport does Rick Fisher play?,basketball
11516,What sport does Sébastien Chevallier play?,beach volleyball
11517,What sport does Bedworth United F.C. play?,association football
11518,What sport does Frank Moss play?,association football
11519,What sport does Walter Tigers Tübingen play?,basketball
11520,What sport does ProKennex play?,tennis
11521,What sport does João Schlittler play?,judo
11522,What sport does Andrew Tucker play?,association football
11523,What sport does Tranmere Rovers F.C. play?,association football
11524,What sport does Indonesia Education League play?,association football
11525,What sport does Bobby Cram play?,association football
11526,What sport does Los Angeles Galaxy play?,association football
11527,What sport does Adam Bennett play?,ice hockey
11528,What sport does John Muse play?,polo
11529,What sport does Ramón Rodríguez play?,association football
11530,What sport does Leonardo Torres play?,association football
11531,What sport does Anderson play?,association football
11532,What sport does Olympique Lyonnais Féminin play?,association football
11533,What sport does 1994–95 Belgian First Division play?,association football
11534,What sport does Mark Jonas play?,association football
11535,What sport does Roland Zajmi play?,association football
11536,What sport does penalty play?,ice hockey
11537,What sport does Oleg Imrekov play?,association football
11538,What sport does Tommy Ord play?,association football
11539,What sport does Pablo Cepellini play?,association football
11540,What sport does Tony Millington play?,association football
11541,What sport does 1909–10 Netherlands Football League Championship play?,association football
11542,What sport does Margarita Louis-Dreyfus play?,association football
11543,What sport does Dragons play?,rugby union
11544,What sport does Ali Sami Yachir play?,association football
11545,What sport does Boreham Wood F.C. play?,association football
11546,What sport does Gergő Kovács play?,association football
11547,What sport does David Coulthard play?,Formula One
11548,What sport does Brunei Barracudas play?,basketball
11549,What sport does 1889 College Football All-America Team play?,American football
11550,What sport does Daigo Watanabe play?,association football
11551,What sport does 2000 UEFA European Under-16 Football Championship play?,association football
11552,What sport does WTA South Orange play?,tennis
11553,What sport does Shuto Suzuki play?,association football
11554,What sport does European Canoe Association play?,canoeing and kayaking
11555,What sport does Peggy Lokando play?,association football
11556,What sport does Shabab Al-Khaleel play?,association football
11557,What sport does Hans Cornelis play?,association football
11558,What sport does Masahito Noto play?,association football
11559,What sport does Algiers Derby play?,association football
11560,What sport does Elias MacDonald play?,association football
11561,What sport does Atlético de Madrid play?,association football
11562,What sport does Jason Kidd play?,basketball
11563,What sport does FINA play?,water polo
11564,What sport does Mikhail Petrusyov play?,association football
11565,What sport does Kwak Hee-ju play?,association football
11566,What sport does Jim Walsh play?,ice hockey
11567,What sport does Australian Football League Draft play?,Australian rules football
11568,What sport does Thiago Quirino play?,association football
11569,What sport does Dan Parkinson play?,association football
11570,What sport does Tommy Greer play?,basketball
11571,What sport does Bill Wilkinson play?,ice hockey
11572,What sport does Oscar Roig Iglesias play?,ski mountaineering
11573,What sport does tight end play?,American football
11574,What sport does Derby Carrillo play?,association football
11575,What sport does Radoslav Rashkov play?,association football
11576,What sport does William Quillian play?,tennis
11577,What sport does 1994–95 FIBA Women's European Champions Cup play?,basketball
11578,What sport does Niklas Stark play?,association football
11579,What sport does Willi Kirsei play?,association football
11580,What sport does Corby Town F.C. play?,association football
11581,What sport does 2013–14 Sheffield Shield season play?,cricket
11582,What sport does Bobby Windsor play?,association football
11583,What sport does Gimnasia y Esgrima de Santa Fe play?,association football
11584,What sport does Buffalo Memorial Auditorium play?,basketball
11585,What sport does Didier Défago play?,alpine skiing
11586,What sport does América Futebol Clube play?,association football
11587,What sport does Olympique Lillois play?,association football
11588,What sport does Michael Gibson play?,association football
11589,What sport does Jennifer Robinson play?,figure skating
11590,What sport does David Davidson play?,association football
11591,What sport does Momo Wall Blamo play?,association football
11592,What sport does Alexandru Chiculiță play?,fencing
11593,What sport does Irina Crasnoscioc play?,basketball
11594,What sport does Billy Whitehouse play?,association football
11595,What sport does Nicolás Martínez play?,association football
11596,What sport does Louis Perrée play?,fencing
11597,What sport does 2011–12 Elon Phoenix men's basketball team play?,basketball
11598,What sport does Aud Brindley play?,basketball
11599,What sport does Gustavo García play?,association football
11600,What sport does FIBT World Championships 1939 play?,bobsleigh
11601,What sport does Frank Cornan play?,association football
11602,What sport does Aleksandar Nikolić play?,basketball
11603,What sport does Gregor Zabret play?,association football
11604,What sport does Italy men's national volleyball team play?,volleyball
11605,What sport does Angus Macdonald play?,rugby union
11606,What sport does Andrei Vițelaru play?,association football
11607,What sport does Maryland Maniacs play?,American football
11608,What sport does Fabien Farnolle play?,association football
11609,What sport does Noel van Klaveren play?,artistic gymnastics
11610,What sport does ONCE play?,road bicycle racing
11611,What sport does 1973 Virginia Slims of Fort Lauderdale play?,tennis
11612,What sport does Chuck Bednarik play?,American football
11613,What sport does Steve Tilson play?,association football
11614,What sport does Jacob Eason play?,American football
11615,What sport does Roberto Mussi play?,association football
11616,What sport does Laryea Kingston play?,association football
11617,What sport does Crease play?,cricket
11618,What sport does Mohammed Amine Kabli play?,association football
11619,What sport does Shahrul Azhar Ture play?,association football
11620,What sport does 1949 France rugby union tour of Argentina play?,rugby union
11621,What sport does EuroBasket 1953 play?,basketball
11622,What sport does Jared Gaither play?,American football
11623,What sport does Boston United F.C. play?,association football
11624,What sport does Maximiliano Cuberas play?,association football
11625,What sport does All-Ireland Senior Club Camogie Championship 1970 play?,camogie
11626,What sport does Alexei Ugarov play?,ice hockey
11627,What sport does Duncan Lambie play?,association football
11628,What sport does Saša Janić play?,association football
11629,What sport does Tony Wagstaff play?,association football
11630,What sport does George Burley play?,association football
11631,What sport does Canada women's national field hockey team play?,field hockey
11632,What sport does antichess play?,chess
11633,What sport does Ed Wachter play?,basketball
11634,What sport does Guilherme Andrade play?,association football
11635,What sport does Noëlle van Lottum play?,tennis
11636,What sport does Abdoul Camara play?,association football
11637,What sport does Szymon Szewczyk play?,basketball
11638,What sport does Elisabeta Guzganu-Tufan play?,fencing
11639,What sport does Enver Marić play?,association football
11640,What sport does Richard Varga play?,triathlon
11641,What sport does C.D. Federal play?,association football
11642,What sport does Bence Balogh play?,association football
11643,What sport does Tim Jackman play?,ice hockey
11644,What sport does Andrew Blades play?,rugby union
11645,What sport does Eric Snow play?,basketball
11646,What sport does Mark Allen play?,triathlon
11647,What sport does Steve Coppell play?,association football
11648,What sport does Cooper T65 play?,auto racing
11649,What sport does Bryan Schmidt play?,ice hockey
11650,What sport does Germany national handball team play?,handball
11651,What sport does Zaur Ramazanov play?,association football
11652,What sport does David Nascimento play?,association football
11653,What sport does Gerardo Galindo play?,association football
11654,What sport does KK Mašinac play?,basketball
11655,What sport does 2004–05 Segunda División B play?,association football
11656,What sport does Pablo Aguilar play?,association football
11657,What sport does Sava Paunović play?,association football
11658,What sport does Östersunds FK play?,association football
11659,What sport does Slower ball play?,cricket
11660,What sport does Katie Taylor play?,boxing
11661,What sport does Ayoze Díaz Díaz play?,association football
11662,What sport does 1924–25 Arsenal F.C. season play?,association football
11663,What sport does Daniel Harrwitz play?,chess
11664,What sport does Muhamed Konjić play?,association football
11665,What sport does Sam Loxton play?,cricket
11666,What sport does Vyacheslav Vedenin play?,cross-country skiing
11667,What sport does Bobby Laing play?,association football
11668,What sport does 2008–09 National Indoor Soccer League season play?,association football
11669,What sport does 1994–95 Fußball-Bundesliga play?,association football
11670,What sport does Juan López Hita play?,association football
11671,What sport does Livia Altmann play?,ice hockey
11672,What sport does Granada Lions play?,American football
11673,What sport does Francis play?,association football
11674,What sport does José Luis Contaja play?,association football
11675,What sport does Luis Eduardo Maldonado play?,association football
11676,What sport does Alexis Mendoza play?,association football
11677,What sport does Afyonkarahisarspor play?,association football
11678,What sport does Mohamad Korhani play?,association football
11679,What sport does canoeing at the 2014 Asian Games – women's K-4 500 metres play?,canoeing and kayaking
11680,What sport does Andrés Bottiglieri play?,association football
11681,What sport does Ernő Noskó play?,association football
11682,What sport does Amdy Faye play?,association football
11683,What sport does Syarhey Ignatovich play?,association football
11684,What sport does Hermann Gadner play?,cross-country skiing
11685,What sport does Mateo Pavlović play?,association football
11686,What sport does Radoslav Školník play?,association football
11687,What sport does Cheltenham Town F.C. play?,association football
11688,What sport does Paulo Grilo play?,association football
11689,What sport does Miljan Goljović play?,basketball
11690,What sport does Gábor Jánvári play?,association football
11691,What sport does Izwan Mahbud play?,association football
11692,What sport does Kateřina Nash play?,cyclo-cross
11693,What sport does Farshad Falahatzadeh play?,association football
11694,What sport does Carsten Hemmingsen play?,association football
11695,What sport does Kim Sung-gan play?,association football
11696,What sport does Artur Marciniak play?,association football
11697,What sport does Jeffrey Aubynn play?,association football
11698,What sport does Luciano Lollo play?,association football
11699,What sport does Cam Ward play?,ice hockey
11700,What sport does 1938 Wimbledon Championships – Women's Singles play?,tennis
11701,What sport does Kabinburi F.C. play?,association football
11702,What sport does 1995 Cook Islands Round Cup play?,association football
11703,What sport does Mario Rigamonti play?,association football
11704,What sport does Kuki play?,association football
11705,What sport does Cris Carter play?,American football
11706,What sport does Gregor Balažic play?,association football
11707,What sport does Hans Pieren play?,alpine skiing
11708,What sport does Adel Bousmal play?,handball
11709,What sport does Mike van der Hoorn play?,association football
11710,What sport does Ugonna Onyekwe play?,basketball
11711,What sport does Scott Muirhead play?,association football
11712,What sport does Deportivo San Pedro play?,association football
11713,What sport does shot play?,ice hockey
11714,What sport does Congo women's national handball team play?,handball
11715,What sport does Sofia Anker-Kofoed play?,association football
11716,What sport does Kiribati men's national basketball team play?,basketball
11717,What sport does Sprawl play?,martial arts
11718,What sport does Rick Ley play?,ice hockey
11719,What sport does Canton Bulldogs–Massillon Tigers betting scandal play?,American football
11720,What sport does Samir Sarsare play?,association football
11721,What sport does Turkish Seniors Open play?,golf
11722,What sport does Njurunda SK play?,ice hockey
11723,What sport does Cam Brown play?,ice hockey
11724,What sport does 1991–92 Southend United F.C. season play?,association football
11725,What sport does Wilson Rodrigues Fonseca play?,association football
11726,What sport does Mike Edwards play?,association football
11727,What sport does 2009 Ukrainian Cup Final play?,association football
11728,What sport does Christo van Rensburg play?,tennis
11729,What sport does Krasen Trifonov play?,association football
11730,What sport does Tom Jordan play?,association football
11731,What sport does Lukáš Bodeček play?,association football
11732,What sport does Deportivo Cali play?,association football
11733,What sport does Ernest Savard play?,ice hockey
11734,What sport does Huntsville Stars play?,baseball
11735,What sport does Ebrahim Asadi play?,association football
11736,What sport does Layla Young play?,association football
11737,What sport does Jeannot Gilbert play?,ice hockey
11738,What sport does David Campese play?,rugby union
11739,What sport does steal play?,basketball
11740,What sport does Alexis Carra play?,association football
11741,What sport does Roland Repiský play?,association football
11742,What sport does Nigel Marples play?,association football
11743,What sport does Valdemar Mota play?,association football
11744,What sport does Stade d'Abidjan play?,association football
11745,What sport does Marino Rahmberg play?,association football
11746,What sport does Marc Santo-Roman play?,chess
11747,What sport does Ewen Fernandez play?,speed skating
11748,What sport does James Coutts play?,association football
11749,What sport does Noumandiez Doué play?,association football
11750,What sport does Deontay Greenberry play?,American football
11751,What sport does Houston Dynamo FC play?,association football
11752,What sport does Eran Biton play?,association football
11753,What sport does Indianapolis 500 play?,motorsport
11754,What sport does Sandar IL play?,association football
11755,What sport does FK Mladost Bački Jarak play?,association football
11756,What sport does Jamie White play?,association football
11757,What sport does Robbie Rouse play?,American football
11758,What sport does 2010 Hong Kong Super Series play?,badminton
11759,What sport does Fernando Baiano play?,association football
11760,What sport does Petr Bříza play?,ice hockey
11761,What sport does Macky Escalona play?,basketball
11762,What sport does Francesco Reda play?,road bicycle racing
11763,What sport does Pedro Ferreira-Mendes play?,association football
11764,What sport does Hugo Rubio play?,association football
11765,What sport does E Sour El Ghozlane play?,association football
11766,What sport does Adam Henley play?,association football
11767,What sport does Jake Ballard play?,American football
11768,What sport does 1895 Home Nations Championship play?,rugby union
11769,What sport does Lek Kcira play?,association football
11770,What sport does André Racicot play?,ice hockey
11771,What sport does Ivica Brzić play?,association football
11772,What sport does Carlos Gómez play?,association football
11773,What sport does Richard Zedník play?,ice hockey
11774,What sport does face mask play?,American football
11775,What sport does Massimo Donati play?,association football
11776,What sport does Giorgio Venturin play?,association football
11777,What sport does Stu Grimson play?,ice hockey
11778,What sport does Daniel Manzato play?,ice hockey
11779,What sport does Completion play?,American football
11780,What sport does Stavros Stathakis play?,association football
11781,What sport does 1998–99 Slovenian Basketball League play?,basketball
11782,What sport does reserve team play?,association football
11783,What sport does John Parsons play?,association football
11784,What sport does list of Azerbaijan football transfers winter 2012 play?,association football
11785,What sport does Abdulhadi Khalaf play?,association football
11786,What sport does Josef Martínez play?,association football
11787,What sport does VOKO-Irodion play?,volleyball
11788,What sport does Paul Chapman play?,association football
11789,What sport does National Stadium play?,association football
11790,What sport does Guyana women's national field hockey team play?,field hockey
11791,What sport does Welling United F.C. play?,association football
11792,What sport does Atanas Atanasov play?,association football
11793,What sport does Port Adelaide Football Club play?,Australian rules football
11794,What sport does Romário Baldé play?,association football
11795,What sport does John O'Brien play?,association football
11796,What sport does Abdoul Thiam play?,association football
11797,What sport does goalkeeper play?,association football
11798,What sport does Lobos BUAP Premier play?,association football
11799,What sport does Harry Clay play?,association football
11800,What sport does Roosevelt Chapman play?,basketball
11801,What sport does Henk Timmer play?,association football
11802,What sport does Joe Bretto play?,ice hockey
11803,What sport does The Maniacs play?,association football
11804,What sport does Bennie Osler play?,rugby union
11805,What sport does Pittsburgh Penguins play?,ice hockey
11806,What sport does Maxwell Griffin play?,association football
11807,What sport does St. Louis Blues play?,ice hockey
11808,What sport does Yuri Koroviansky play?,volleyball
11809,What sport does Kaisa Varis play?,biathlon
11810,What sport does Ron Douglas play?,association football
11811,What sport does Graham Oates play?,association football
11812,What sport does Eduard Campabadal play?,association football
11813,What sport does Albert Cox play?,association football
11814,What sport does Neale McDermott play?,association football
11815,What sport does Vinicius Oliveira Franco play?,association football
11816,What sport does Amaury Sport Organisation play?,road bicycle racing
11817,What sport does bonus play?,basketball
11818,What sport does Luka Glavaš play?,association football
11819,What sport does Noy Castillo play?,basketball
11820,What sport does Coventry City F.C. play?,association football
11821,What sport does Guo Ruilong play?,association football
11822,What sport does Mehmet Gürkan Öztürk play?,association football
11823,What sport does Kevin Colley play?,ice hockey
11824,What sport does Vancouver Whitecaps FC play?,association football
11825,What sport does 1911–12 Scottish Cup play?,association football
11826,What sport does 2011–12 Athletic Bilbao season play?,association football
11827,What sport does Chaker Zouagi play?,association football
11828,What sport does Gridiron Australia play?,American football
11829,What sport does Margaret Court play?,tennis
11830,What sport does Hanworth Villa F.C. play?,association football
11831,What sport does Nicolaas Cortlever play?,chess
11832,What sport does American Basketball League play?,basketball
11833,What sport does Mario Aguilar play?,association football
11834,What sport does Marko Vidović play?,association football
11835,What sport does grip play?,badminton
11836,What sport does Drew Nicholas play?,basketball
11837,What sport does Hwang Byung-ju play?,association football
11838,What sport does Mark Smalley play?,association football
11839,What sport does Nobuhiro Ishizaki play?,association football
11840,What sport does Michal Vacek play?,bobsleigh
11841,What sport does Ri Yong-jik play?,association football
11842,What sport does 1899 Wisconsin Badgers football team play?,American football
11843,What sport does Ceyda Aktaş play?,volleyball
11844,What sport does Colombian Cycling Federation play?,cycle sport
11845,What sport does 1920–21 Northern Football League play?,association football
11846,What sport does Larissa Volpert play?,chess
11847,What sport does Damla Çakıroğlu play?,volleyball
11848,What sport does Madison play?,track cycling
11849,What sport does Nelson Semperena play?,association football
11850,What sport does Waltteri Immonen play?,ice hockey
11851,What sport does James Rodríguez play?,association football
11852,What sport does McPherson Meade play?,association football
11853,What sport does 1995–96 Norwich City F.C. season play?,association football
11854,What sport does King's Indian Defence play?,chess
11855,What sport does Jakob Friis-Hansen play?,association football
11856,What sport does Université Nationale du Bénin FC play?,association football
11857,What sport does Doncaster Rovers F.C. play?,association football
11858,What sport does Roberto Kettlun play?,association football
11859,What sport does George Milburn play?,association football
11860,What sport does Diego Polenta play?,association football
11861,What sport does Patricio Margetic play?,association football
11862,What sport does 1973 Alabama Crimson Tide football team play?,American football
11863,What sport does 2012 Uzbekistan First League play?,association football
11864,What sport does First division play?,baseball
11865,What sport does Peter Bircumshaw play?,association football
11866,What sport does Nevio de Zordo play?,bobsleigh
11867,What sport does Wojciech Jarmuż play?,association football
11868,What sport does Ricardo Gónzalez Reinoso play?,association football
11869,What sport does Danilinho play?,association football
11870,What sport does Bernadette Szőcs play?,table tennis
11871,What sport does Dimitri Pätzold play?,ice hockey
11872,What sport does Scuderia Toro Rosso play?,Formula One
11873,What sport does Iowa Wild play?,ice hockey
11874,What sport does Miroslav Milutinović play?,association football
11875,What sport does Best play?,association football
11876,What sport does Jerry West play?,basketball
11877,What sport does Cassiá play?,association football
11878,What sport does 2014 UMass Minutemen football team play?,American football
11879,What sport does Chertsey Town F.C. play?,association football
11880,What sport does James Haskell play?,rugby union
11881,What sport does Ralph Black play?,association football
11882,What sport does HSV Hamburg play?,handball
11883,What sport does Billy Dennehy play?,association football
11884,What sport does Adrian Olah play?,association football
11885,What sport does Arivaldo Alves dos Santos play?,association football
11886,What sport does Billy Lumley play?,association football
11887,What sport does Ondřej Kušnír play?,association football
11888,What sport does Mai Van Hoa play?,table tennis
11889,What sport does 2010 Veikkausliiga play?,association football
11890,What sport does José Diogo Macedo Silva play?,association football
11891,What sport does Christos Koutsospyros play?,association football
11892,What sport does Ditte Kotzian play?,diving
11893,What sport does run batted in play?,softball
11894,What sport does Ademar Aparecido Xavier Júnior play?,association football
11895,What sport does ball play?,rhythmic gymnastics
11896,What sport does NK Zreče play?,association football
11897,What sport does Jukka Tammi play?,ice hockey
11898,What sport does Vitālijs Astafjevs play?,association football
11899,What sport does George Douglas play?,association football
11900,What sport does Ernest Street play?,association football
11901,What sport does Mr. Olympia play?,bodybuilding
11902,What sport does St. Louis Cardinals play?,baseball
11903,What sport does Juan Carlos Stauskas play?,association football
11904,What sport does 2011 Chatham Cup play?,association football
11905,What sport does Saudi Premier League 1990–91 play?,association football
11906,What sport does Christian Lee play?,association football
11907,What sport does Maltese Women's Cup play?,association football
11908,What sport does FK Radnički Pirot play?,association football
11909,What sport does 2009 Atlantic Coast Conference Baseball Tournament play?,baseball
11910,What sport does Timon Dobias play?,association football
11911,What sport does János Farkas play?,association football
11912,What sport does Mutanda Kwesele play?,association football
11913,What sport does history of Melbourne Knights FC play?,association football
11914,What sport does Marc Herold Gracien play?,association football
11915,What sport does Bob Lanier play?,basketball
11916,What sport does Barrie Aitchison play?,association football
11917,What sport does Leyton Orient F.C. play?,association football
11918,What sport does Jean play?,association football
11919,What sport does Wallidan F.C. play?,association football
11920,What sport does Oyanaisis Gelis play?,basketball
11921,Who is the author of The Story of the Daughters of Quchan?,Afsaneh Najmabadi
11922,Who is the author of All Over?,Edward Albee
11923,Who is the author of Afternoon?,Ouida
11924,Who is the author of How to Be Good?,Nick Hornby
11925,Who is the author of Tempo and Mode in Evolution?,George Gaylord Simpson
11926,Who is the author of Glas?,Jacques Derrida
11927,Who is the author of Noah's Brother?,Dick King-Smith
11928,Who is the author of Sunset?,Isaak Babel
11929,Who is the author of Escape?,David McMillan
11930,Who is the author of The House of God?,Samuel Shem
11931,Who is the author of Bed?,Tao Lin
11932,Who is the author of Buddha?,Osamu Tezuka
11933,Who is the author of Sisters?,Lynne Cheney
11934,Who is the author of Everyday Use?,Alice Walker
11935,Who is the author of Justice?,John Galsworthy
11936,Who is the author of Midnight?,Dean Koontz
11937,Who is the author of 1602: New World?,Greg Pak
11938,Who is the author of Romanitas?,Sophia McDougall
11939,Who is the author of Just Listen?,Sarah Dessen
11940,Who is the author of The Keep?,Jennifer Egan
11941,Who is the author of The Jacket?,Andrew Clements
11942,Who is the author of Treasure Island?,Robert Louis Stevenson
11943,Who is the author of Chicago?,Maurine Dallas Watkins
11944,Who is the author of Mouse?,Satoru Akahori
11945,Who is the author of Crash?,J. G. Ballard
11946,Who is the author of Losing It?,Valerie Bertinelli
11947,Who is the author of Nerve?,Dick Francis
11948,Who is the author of Hammered?,Elizabeth Bear
11949,Who is the author of ES?,Fuyumi Soryo
11950,Who is the author of Phaic Tăn?,Rob Sitch
11951,Who is the author of Men at Work: The Craft of Baseball?,George Will
11952,Who is the author of 2030?,Albert Brooks
11953,Who is the author of The Lottery?,Shirley Jackson
11954,Who is the author of Watchers at the Strait Gate?,Russell Kirk
11955,Who is the author of The Little Stranger?,Sarah Waters
11956,Who is the author of Bones?,Jonathan Kellerman
11957,Who is the author of The Town?,Conrad Richter
11958,Who is the author of Only Human?,Eileen Wilks
11959,Who is the author of The Bread?,Wolfgang Borchert
11960,Who is the author of Charity?,Len Deighton
11961,Who is the author of Race?,David Mamet
11962,Who is the author of Gone for Good?,Harlan Coben
11963,Who is the author of The Last Days?,Scott Westerfeld
11964,"Who is the author of Memory, Sorrow, and Thorn?",Tad Williams
11965,Who is the author of Yellow?,Makoto Tateno
11966,Who is the author of The South?,Jorge Luis Borges
11967,Who is the author of It?,Stephen King
11968,Who is the author of Chharpatra?,Sukanta Bhattacharya
11969,Who is the author of Boy?,Roald Dahl
11970,Who is the author of The Flood?,Ian Rankin
11971,Who is the author of Legend?,Marie Lu
11972,Who is the author of Out of the Dark?,Welwyn Wilton Katz
11973,Who is the author of The Odyssey: A Modern Sequel?,Nikos Kazantzakis
11974,Who is the author of Hawk?,Steven Brust
11975,Who is the author of Private?,Kieran Scott
11976,Who is the author of Real?,Takehiko Inoue
11977,Who is the author of After Dark?,Haruki Murakami
11978,Who is the author of Tractatus Politicus?,Benedictus de Spinoza
11979,Who is the author of The National Dream?,Pierre Berton
11980,Who is the author of My Neighbor?,Franz Kafka
11981,Who is the author of In Our Time?,Tom Wolfe
